latitude,longitude,altitude
5442.9711,2518.983,83.5
5442.9806,2518.9857,83.2
5442.9901,2518.988,83.2
5442.9998,2518.9902,83.1
5443.0095,2518.9925,82.5
5443.0192,2518.9949,81.6
5443.0287,2518.9976,80.6
5443.0382,2519.0001,79.7
5443.0473,2519.0026,78.6
5443.0559,2519.0053,78.7
5443.0644,2519.0077,78.0
5443.0726,2519.01,77.3
5443.0801,2519.0122,76.5
5443.0867,2519.0141,75.6
5443.0924,2519.016,75.1
5443.0972,2519.0173,74.5
5443.1008,2519.0177,73.8
5443.1035,2519.0182,72.9
5443.1055,2519.019,72.3
5443.1071,2519.0197,71.5
5443.1082,2519.0202,70.6
5443.1085,2519.0204,70.5
5443.1084,2519.0203,70.7
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1083,2519.0204,70.5
5443.1089,2519.0214,70.4
5443.1107,2519.0219,70.6
5443.1133,2519.0228,70.8
5443.1164,2519.0236,71.1
5443.1201,2519.0243,71.6
5443.1236,2519.0247,72.1
5443.1276,2519.0257,72.4
5443.1324,2519.0268,73.0
5443.1374,2519.0281,73.5
5443.1422,2519.0289,74.4
5443.1473,2519.0301,74.8
5443.1525,2519.0317,75.6
5443.1573,2519.0348,78.6
5443.1635,2519.0368,79.6
5443.1701,2519.0391,80.7
5443.1773,2519.0417,81.5
5443.1844,2519.0449,82.0
5443.1912,2519.0484,82.6
5443.1979,2519.0522,83.3
5443.205,2519.0558,83.5
5443.212,2519.0596,84.7
5443.2193,2519.0631,85.4
5443.2267,2519.0669,85.5
5443.2343,2519.0708,85.8
5443.2413,2519.0751,87.5
5443.2488,2519.0789,87.4
5443.2563,2519.0827,87.6
5443.263,2519.087,89.6
5443.2698,2519.0912,90.6
5443.2763,2519.0957,91.9
5443.2826,2519.1003,93.2
5443.2887,2519.1054,94.5
5443.2948,2519.1106,95.5
5443.3009,2519.1159,96.6
5443.3067,2519.1215,97.6
5443.3125,2519.1274,98.9
5443.3183,2519.1335,99.6
5443.3239,2519.1396,100.5
5443.3292,2519.1458,101.6
5443.3344,2519.152,102.5
5443.3394,2519.1583,102.6
5443.3444,2519.1649,103.0
5443.3497,2519.1718,103.2
5443.3553,2519.1795,103.7
5443.3613,2519.1876,104.1
5443.3677,2519.1963,104.4
5443.3742,2519.2055,105.4
5443.3809,2519.2147,106.0
5443.3876,2519.224,106.8
5443.3947,2519.2333,108.0
5443.4015,2519.2425,108.9
5443.4083,2519.2522,109.7
5443.4149,2519.2625,110.9
5443.4217,2519.2726,111.6
5443.4286,2519.2829,111.8
5443.4357,2519.2933,112.1
5443.4432,2519.3035,112.2
5443.4503,2519.3144,112.3
5443.4572,2519.3262,113.9
5443.4644,2519.3372,114.5
5443.4718,2519.3482,114.5
5443.4789,2519.3601,115.7
5443.4864,2519.3713,116.0
5443.4939,2519.3829,116.2
5443.5014,2519.395,117.6
5443.509,2519.4069,117.9
5443.5167,2519.4186,118.0
5443.5247,2519.4301,118.7
5443.5323,2519.4416,118.8
5443.5396,2519.4535,118.8
5443.5474,2519.465,118.7
5443.5553,2519.4766,118.3
5443.563,2519.4884,117.9
5443.571,2519.5002,118.0
5443.5783,2519.5127,118.0
5443.5857,2519.5245,118.0
5443.5933,2519.5358,118.0
5443.6006,2519.5471,117.2
5443.6077,2519.5584,116.8
5443.6147,2519.57,117.0
5443.6219,2519.5816,116.2
5443.6289,2519.5937,116.0
5443.6363,2519.6054,115.8
5443.6439,2519.6171,115.2
5443.6515,2519.6292,114.9
5443.659,2519.6414,114.6
5443.6666,2519.6536,114.3
5443.6743,2519.6655,113.8
5443.682,2519.6773,113.2
5443.6899,2519.6895,113.1
5443.6977,2519.7026,113.1
5443.7054,2519.716,113.2
5443.7131,2519.7298,112.6
5443.7212,2519.7434,112.2
5443.7296,2519.7568,112.1
5443.7381,2519.7703,111.8
5443.7467,2519.7836,111.9
5443.7552,2519.7968,111.8
5443.7639,2519.8101,111.9
5443.7727,2519.8236,111.8
5443.7816,2519.8371,111.8
5443.7904,2519.8505,111.8
5443.7991,2519.8642,112.2
5443.8077,2519.8777,112.9
5443.8164,2519.8911,113.4
5443.8251,2519.9048,114.0
5443.834,2519.9182,114.6
5443.8429,2519.9315,114.6
5443.8512,2519.9453,115.7
5443.8596,2519.9586,116.4
5443.8684,2519.9719,116.7
5443.8772,2519.9855,116.9
5443.886,2519.9992,117.0
5443.8947,2520.013,117.4
5443.9035,2520.0268,117.7
5443.9123,2520.0404,117.9
5443.9211,2520.0541,117.9
5443.9297,2520.0685,117.7
5443.9384,2520.0824,117.8
5443.9469,2520.0964,118.2
5443.9556,2520.1103,117.8
5443.9644,2520.124,117.4
5443.973,2520.1377,117.0
5443.9817,2520.1512,116.9
5443.9905,2520.1646,116.8
5443.9987,2520.1784,116.7
5444.0072,2520.192,116.4
5444.0154,2520.2057,116.4
5444.024,2520.2187,116.4
5444.0324,2520.2315,116.5
5444.0416,2520.2435,116.9
5444.0501,2520.2555,117.0
5444.0586,2520.2672,116.9
5444.0673,2520.2787,116.4
5444.0758,2520.2911,116.2
5444.0844,2520.3037,115.8
5444.0932,2520.317,116.4
5444.1023,2520.3302,116.3
5444.1113,2520.3437,116.4
